,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
48,0.005153036117553711,8.784430226037962e-05,0.0,0.0,gini,auto,8,2,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 800}",,,,,,,,181
49,0.005204534530639649,0.0004841009867124645,0.0,0.0,gini,auto,8,2,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 1600}",,,,,,,,181
50,0.005126333236694336,0.00017930615389558896,0.0,0.0,gini,auto,8,5,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,181
51,0.0050715446472167965,7.011721384267459e-05,0.0,0.0,gini,auto,8,5,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,181
52,0.005168342590332031,0.00021154511728063295,0.0,0.0,gini,auto,8,5,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 400}",,,,,,,,181
53,0.005041265487670898,0.0002583607220609645,0.0,0.0,gini,auto,8,5,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 800}",,,,,,,,181
54,0.004822921752929687,9.144866512139028e-05,0.0,0.0,gini,auto,8,5,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 1600}",,,,,,,,181
55,0.0046879291534423825,9.8615250545075e-05,0.0,0.0,gini,auto,8,10,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,181
56,0.004664754867553711,0.00011022610490184376,0.0,0.0,gini,auto,8,10,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,181
57,0.0046997547149658205,0.00011986328023787681,0.0,0.0,gini,auto,8,10,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,181
58,0.004666471481323242,6.833537326453591e-05,0.0,0.0,gini,auto,8,10,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,181
59,0.005193471908569336,0.0003494343577098527,0.0,0.0,gini,auto,8,10,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 1600}",,,,,,,,181
60,4.134171009063721,0.2005684555528916,0.12221441268920899,0.019784973752394835,gini,sqrt,1,2,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8878504672897196,0.9439252336448598,0.9283489096573209,0.897196261682243,0.9626168224299065,0.92398753894081,0.028044305133774206,104
61,7.736365127563476,0.3341509661799687,0.12453927993774414,0.017761226614546315,gini,sqrt,1,2,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8940809968847352,0.9439252336448598,0.9345794392523364,0.9034267912772586,0.9626168224299065,0.9277258566978194,0.025491928405581045,89
62,15.7960515499115,0.5993679989274461,0.17457785606384277,0.025333825877369605,gini,sqrt,1,2,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.8878504672897196,0.9439252336448598,0.9345794392523364,0.9065420560747663,0.9626168224299065,0.9271028037383179,0.02669692870483309,93
63,32.13409090042114,0.986813226534829,0.23414883613586426,0.020045826555485993,gini,sqrt,1,2,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.8909657320872274,0.9439252336448598,0.9345794392523364,0.9034267912772586,0.9626168224299065,0.9271028037383179,0.02633089920138996,93
64,63.3255476474762,2.344500658002439,0.35926027297973634,0.048733759034470914,gini,sqrt,1,2,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1600}",0.8940809968847352,0.9439252336448598,0.9314641744548287,0.9065420560747663,0.9657320872274143,0.928348909657321,0.02568913162378605,85
65,4.025790596008301,0.18753824370551878,0.13264336585998535,0.012203501439301856,gini,sqrt,1,5,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.881619937694704,0.9439252336448598,0.9376947040498442,0.8909657320872274,0.9657320872274143,0.92398753894081,0.032290737744174305,104
66,8.14008002281189,0.36677488892379934,0.1519139289855957,0.011801529497868607,gini,sqrt,1,5,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8847352024922118,0.9439252336448598,0.9314641744548287,0.8909657320872274,0.9626168224299065,0.9227414330218068,0.030229307092107673,126
67,16.297345542907713,1.361109970461958,0.1811777114868164,0.020105782449965245,gini,sqrt,1,5,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.8847352024922118,0.9439252336448598,0.940809968847352,0.8940809968847352,0.9626168224299065,0.9252336448598129,0.03033186652869305,102
68,31.4482488155365,1.7641945800523644,0.24160423278808593,0.022044504698089277,gini,sqrt,1,5,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.8909657320872274,0.9439252336448598,0.9345794392523364,0.9003115264797508,0.9626168224299065,0.9264797507788163,0.026914157092155985,96
69,61.96171021461487,3.8510069755959924,0.34775562286376954,0.02534644675367604,gini,sqrt,1,5,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1600}",0.8940809968847352,0.9439252336448598,0.9345794392523364,0.897196261682243,0.9657320872274143,0.9271028037383179,0.027625918102673355,93
70,4.003303337097168,0.34266115896741545,0.12749009132385253,0.017080401668733553,gini,sqrt,1,10,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8847352024922118,0.9439252336448598,0.9283489096573209,0.881619937694704,0.9626168224299065,0.9202492211838006,0.03217029443844383,156
71,8.104496335983276,0.5007101238511876,0.15495591163635253,0.013313016019624724,gini,sqrt,1,10,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8847352024922118,0.9439252336448598,0.9376947040498442,0.8847352024922118,0.9626168224299065,0.9227414330218068,0.03209781151997822,126
72,15.328213262557984,0.29972902794841977,0.17181906700134278,0.030964918002956556,gini,sqrt,1,10,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",0.8785046728971962,0.9439252336448598,0.9314641744548287,0.8847352024922118,0.9657320872274143,0.9208722741433022,0.03393208424720275,149
73,31.736851692199707,1.4342842881166737,0.24556975364685057,0.03334300942061651,gini,sqrt,1,10,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.881619937694704,0.9439252336448598,0.9252336448598131,0.8878504672897196,0.9626168224299065,0.9202492211838006,0.031376145325892016,156
74,61.424782514572144,3.1228321062835094,0.3936352252960205,0.014674135218297114,gini,sqrt,1,10,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1600}",0.8847352024922118,0.9439252336448598,0.9190031152647975,0.8909657320872274,0.9626168224299065,0.9202492211838006,0.029919519510387464,156
